pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
11 Com b,326.03,1.29,1.08,19.4,19.1,19,2.7,2.243,Gas Giant
11 UMi b,516.21997,1.53,1.09,14.74,13.8,29.79,2.78,2.43,Gas Giant
14 And b,185.84,0.83,1.15,4.8,3.9,11,2.2,1.763,Gas Giant
14 Her b,1765.0389,2.774,1.12,8.053,7.03,0.93,0.91,-0.153,Gas Giant
16 Cyg B b,798.5,1.66,1.2,1.78,1.26,1.13,1.08,0.097,Gas Giant
17 Sco b,578.38,1.45,1.15,4.32,3.51,25.92,1.22,2.254,Gas Giant
18 Del b,993.3,2.6,1.11,10.3,9.21,8.5,2.3,1.602,Gas Giant
1RXS J160929.1-210524 b,2376279.98,330,1.664,8,2.54,1.31,0.85,-0.37,Gas Giant
24 Boo b,30.3506,0.19,1.24,0.91,0.592,10.64,0.99,1.774,Gas Giant
24 Sex b,452.8,1.333,1.19,1.99,1.44,4.9,1.54,1.164,Gas Giant
24 Sex c,883,2.08,1.24,0.86,0.559,4.9,1.54,1.164,Gas Giant
2M0437 b,1136146.65,118,1.16,4,3.18,0.84,0.17,-1.164,Gas Giant
2MASS J01033563-5515561 AB b,645469.8,84,1.1,13,12.2,,0.19,,Gas Giant
2MASS J01225093-2439505 b,216666.3,52,1,24.5,30.4,0.37,0.4,-1.72,Gas Giant
2MASS J02192210-3925225 b,2146976.02,156,1.44,13.9,5.77,0.28,0.11,-2.23,Gas Giant
2MASS J04414489+2301513 b,150118,15,1.13,7.5,6.55,0.23,0.02,-2.444,Gas Giant
2MASS J12073346-3932539 b,1054074.98,55,1.15,5,4.07,0.22,0.02,-2.561,Gas Giant
2MASS J19383260+4603591 b,406,0.92,1.2,1.9,1.38,0.2,0.48,1.45,Gas Giant
2MASS J22362452+4751425 b,1645706.93,230,1.1,12.5,11.7,0.64,0.6,-1.021,Gas Giant
30 Ari B b,335.10001,0.99,1.1,13.82,13,1.41,1.93,0.381,Gas Giant
4 UMa b,269.3,0.87,1.13,7.1,6.05,18.11,1.23,2.062,Gas Giant
42 Dra b,479.1,1.19,1.16,3.88,3.08,22.03,0.98,2.155,Gas Giant
47 UMa b,1078,2.1,1.18,2.53,1.92,1.21,1.06,0.198,Gas Giant
47 UMa c,2391,3.6,1.27,0.54,0.329,1.21,1.06,0.198,Gas Giant
47 UMa d,14002,11.6,1.2,1.64,1.16,1.21,1.06,0.198,Gas Giant
51 Eri b,11688,13.2,1.19,2,1.45,1.49,1.75,0.85,Gas Giant
51 Peg b,4.230785,0.0527,1.27,0.46,0.275,1.18,1.03,0.136,Gas Giant
55 Cnc b,14.6516,0.1134,1.24,0.8306,0.54,0.94,0.91,-0.197,Gas Giant
55 Cnc c,44.3989,0.2373,0.76,0.1714,0.486,0.94,0.91,-0.197,Gas Giant
55 Cnc d,5574.2,5.957,1.16,3.878,3.08,0.94,0.91,-0.197,Gas Giant
55 Cnc e,0.7365474,0.01544,0.167,0.02514,6.66,0.94,0.91,-0.197,Super Earth
55 Cnc f,259.88,0.7708,0.677,0.141,0.563,0.94,0.91,-0.197,Gas Giant
6 Lyn b,934.3,2.11,1.19,2.01,1.46,5.2,1.44,1.176,Gas Giant
61 Vir b,4.215,0.050201,0.188,0.016,2.98,0.96,0.94,-0.095,Neptune-like
61 Vir c,38.021,0.2175,0.398,0.057,1.13,0.96,0.94,-0.095,Neptune-like
61 Vir d,123.01,0.476,0.456,0.072,0.943,0.96,0.94,-0.095,Neptune-like
7 CMa b,735.1,1.758,1.2,1.85,1.34,4.87,1.34,1.063,Gas Giant
7 CMa c,996,2.153,1.24,0.87,0.566,4.87,1.34,1.063,Gas Giant
70 Vir b,116.688,0.481,1.13,7.49,6.54,1.89,1.09,0.451,Gas Giant
75 Cet b,691.9,2.1,1.17,3,2.33,10.5,2.49,1.73,Gas Giant
8 UMi b,93.4,0.49,1.22,1.31,0.91,10.3,1.44,1.725,Gas Giant
81 Cet b,952.7,2.5,1.14,5.3,4.41,11,2.4,1.778,Gas Giant
91 Aqr b,181.4,0.7,1.17,3.2,2.49,11,1.4,1.692,Gas Giant
AB Aur b,214657.425,93.9,1.12,9,8.05,2.96,2.4,1.771,Gas Giant
AB Pic b,1615025.925,260,1.1,13.5,12.7,1,0.9,-0.226,Gas Giant
AF Lep b,8030,8.4,1.17,3.2,2.49,1.25,1.2,0.29,Gas Giant
AU Mic b,8.4629991,0.0645,0.363,0.0633,1.32,0.7,0.5,-1.046,Neptune-like
AU Mic c,18.858991,0.1101,0.289,0.0302,1.22,0.75,0.5,-1.046,Neptune-like
BD+03 2562 b,481.9,1.3,1.13,6.4,5.46,32.35,1.14,2.7,Gas Giant
BD+14 4559 b,268.94,0.78,1.23,1.04,0.691,0.86,0.49,-0.32,Gas Giant
BD+15 2375 b,153.22,0.576,1.23,1.061,0.705,8.95,1.08,1.57,Gas Giant
BD+15 2940 b,137.48,0.539,1.23,1.11,0.754,14.7,1.1,2.01,Gas Giant
BD+20 2457 b,379.63,1.45,1.08,21.42,21.1,49,2.8,3.17,Gas Giant
BD+20 2457 c,621.99,2.01,1.1,12.47,11.4,49,2.8,3.17,Gas Giant
BD+20 274 b,578.2,1.3,1.16,4.2,3.34,17.3,0.8,1.96,Gas Giant
BD+20 594 b,41.6855,0.241,0.23,0.07,7.89,1.08,1.67,-0.056,Neptune-like
BD+45 564 b,307.88,0.83,1.21,1.36,0.944,0.81,0.81,-0.399,Gas Giant
