pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
11 Com b,11 Com,2,1,326.03,1.29,12.1,1.08,6165.6,19.4,Msini,19.1,0.231,,,,,,G8 III,4742,19,2.7,-0.35,2.243,2.31,,,93.1846,4.72307,2.282,4.44038,Gas Giant
11 UMi b,11 UMi,1,1,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,13.8,0.08,,,,,,K4 III,4213,29.79,2.78,-0.02,2.43,1.93,1.56,,125.321,5.013,1.939,4.56216,Gas Giant
14 And b,14 And,1,1,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,3.9,0,,,,,,K0 III,4813,11,2.2,-0.24,1.763,2.63,4.5,,75.4392,5.23133,2.331,4.91781,Gas Giant
14 Her b,14 Her,1,2,1765.0389,2.774,12.6,1.12,2559.47216,8.053,Mass,7.03,0.373,,,144.652,,,K0 V,5338,0.93,0.91,0.405,-0.153,4.45,3.9,1.27393,17.9323,6.61935,4.714,6.383,Gas Giant
16 Cyg B b,16 Cyg B,3,1,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,1.26,0.68,,,,,,G3 V,5750,1.13,1.08,0.06,0.097,4.36,7.4,1.01103,21.1397,6.215,4.651,6.06428,Gas Giant
17 Sco b,17 Sco,1,1,578.38,1.45,12.9,1.15,1373.01872,4.32,Msini,3.51,0.06,,,,,,K3 III,4157,25.92,1.22,-0.01,2.254,1.7,5.13,,124.953,5.22606,2.094,4.75429,Gas Giant
18 Del b,18 Del,2,1,993.3,2.6,12.5,1.11,3273.5,10.3,Msini,9.21,0.08,,,,,,G6 III,4979,8.5,2.3,-0.052,1.602,2.82,1.1,,76.222,5.51048,3.366,5.27476,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330,18.647,1.664,3000,8,Mass,2.54,,,1700,,,,K7 V,4060,1.31,0.85,,-0.37,4,0.005,0.38789,139.135,12.618,8.916,12.0572,Gas Giant
24 Boo b,24 Boo,1,1,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.592,0.042,,,,,,G3 IV,4893,10.64,0.99,-0.77,1.774,2.42,6.92,,95.9863,5.59,3.159,5.3339,Gas Giant
24 Sex b,24 Sex,1,2,452.8,1.333,13.4,1.19,632.46,1.99,Msini,1.44,0.09,,,,,,K0 IV,5098,4.9,1.54,-0.03,1.164,3.5,2.7,,72.0691,6.4535,4.285,6.20374,Gas Giant
24 Sex c,24 Sex,1,2,883,2.08,13.9,1.24,273.32,0.86,Msini,0.559,0.29,,,,,,K0 IV,5098,4.9,1.54,-0.03,1.164,3.5,2.7,,72.0691,6.4535,4.285,6.20374,Gas Giant
2M0437 b,2MASS J04372171+2651014,1,1,,118,13,1.16,1271.31363,4,Mass,3.18,,,1450,,,,M V,3100,0.84,0.17,0.01,-1.164,4.5,2.5,3.32018,128.484,16.186,10.386,14.3374,Gas Giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,,84,12.3,1.1,4131.79,13,Mass,12.2,,,,,,,M5.5/M6,,,0.19,,,,0.03,,47.2,15.788,9.237001,,Gas Giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,52,11.209,1,7786.5,24.5,Mass,30.4,,,1600,,,,M3.5 V,3530,0.37,0.4,,-1.72,4.86,0.12,10.11868,33.8281,14.244,9.198,12.9025,Gas Giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,,156,16.141,1.44,4417.837,13.9,Mass,5.77,,,,,,,M6,3064,0.28,0.11,,-2.23,4.59,0.035,17.67076,40.0896412,,10.404,15.0123,Gas Giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,,15,12.6,1.13,2383.6,7.5,Mass,6.55,,,,,,,M8.5,2936,0.23,0.02,,-2.444,5.01,0.001,22.7811,120.423987,,13.161,18.9668,Gas Giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,55,12.9,1.15,1589.15,5,Mass,4.07,,,1250,,,,M8,2825,0.22,0.02,,-2.561,5.03,0.008,25.27945,64.308,20.15,11.945,17.4076,Gas Giant
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,406,0.92,13.4,1.2,603.877,1.9,Mass,1.38,0.33,,,,,,,29564,0.2,0.48,-0.092,1.45,5.51,,,396.332,12.651,12.955,12.1376,Gas Giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,,230,12.3,1.1,3972.875,12.5,Mass,11.7,,,,,,,K7 V,4045,0.64,0.6,,-1.021,4.62,0.12,3.36994,69.5737,12.368,9.148,11.9484,Gas Giant
30 Ari B b,30 Ari B,4,1,335.10001,0.99,12.3,1.1,4392.4106,13.82,Msini,13,0.29,,,,,,F6 V,6331,1.41,1.93,0.19,0.381,4.43,0.91,0.743,44.657,7.09209,5.822,6.96085,Gas Giant
4 UMa b,4 UMa,1,1,269.3,0.87,12.7,1.13,2256.5,7.1,Msini,6.05,0.432,,,,,,K1 III,4415,18.11,1.23,-0.25,2.062,1.8,4.604,,73.4603,4.5801,1.734,4.23773,Gas Giant
42 Dra b,42 Dra,2,1,479.1,1.19,13,1.16,1233.13,3.88,Msini,3.08,0.38,,,,,,K1.5 III,4200,22.03,0.98,-0.46,2.155,1.71,9.49,,90.6545,4.8262,2.085,4.43216,Gas Giant
47 UMa b,47 UMa,1,3,1078,2.1,13.2,1.18,804.08,2.53,Msini,1.92,0.032,,,,,,G0 V,5872,1.21,1.06,0.04,0.198,4.3,6.48,0.83662,13.7967,5.03352,3.75,4.87837,Gas Giant
47 UMa c,47 UMa,1,3,2391,3.6,14.2,1.27,171.621,0.54,Msini,0.329,0.098,,,,,,G1 V,5872,1.21,1.06,0.04,0.198,4.3,6.48,0.83662,13.7967,5.03352,3.75,4.87837,Gas Giant
47 UMa d,47 UMa,1,3,14002,11.6,13.5,1.2,521.22,1.64,Msini,1.16,0.16,,,,,,G0V,5872,1.21,1.06,0.04,0.198,4.3,6.48,0.83662,13.7967,5.03352,3.75,4.87837,Gas Giant
51 Eri b,51 Eri,3,1,11688,13.2,13.4,1.19,635.66,2,Mass,1.45,0.45,,700,133,,,F0 IV,7295,1.49,1.75,-0.027,0.85,4.31,0.02,0.70712,29.7575,5.21149,4.537,5.15806,Gas Giant
51 Peg b,51 Peg,1,1,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.275,0.013,,,80,,,G5V,5758,1.18,1.03,0.18,0.136,4.31,10,0.89374,15.4614,5.45309,3.911,5.28647,Gas Giant
55 Cnc b,55 Cnc,2,5,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0.54,0,,700,89.73,,,K0 IV-V,5172,0.94,0.91,0.35,-0.197,4.43,5.5,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
55 Cnc c,55 Cnc,2,5,44.3989,0.2373,8.51,0.76,54.4738,0.1714,Mass,0.486,0.03,,,89.73,,,G8V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
55 Cnc d,55 Cnc,2,5,5574.2,5.957,13,1.16,1232.493,3.878,Mass,3.08,0.13,,,89.73,,,G8 V,5172,0.94,0.91,0.35,-0.197,4.43,5.5,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
55 Cnc e,55 Cnc,2,5,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,0.05,2657.83,1958,83.59,3.52,0.0182,G8 V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41,12.5855,5.95084,4.015,5.72973,Super Earth
55 Cnc f,55 Cnc,2,5,259.88,0.7708,7.59,0.677,44.812,0.141,Mass,0.563,0.08,,,89.73,,,G8V,5172,0.94,0.91,0.35,-0.197,4.43,10.2,1.41851,12.5855,5.95084,4.015,5.72973,Gas Giant
6 Lyn b,6 Lyn,1,1,934.3,2.11,13.4,1.19,638.8383,2.01,Msini,1.46,0.073,,,,,,K0 IV,4938,5.2,1.44,-0.13,1.176,3.19,2.353,,54.6599,5.87307,3.701,5.60686,Gas Giant
61 Vir b,61 Vir,1,3,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,2.98,0.12,,,,,,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,8.50332,4.6955,2.956,4.54052,Neptune-like
61 Vir c,61 Vir,1,3,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,1.13,0.14,,,,,,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,8.50332,4.6955,2.956,4.54052,Neptune-like
61 Vir d,61 Vir,1,3,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.943,0.35,,,,,,G5 V,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,8.50332,4.6955,2.956,4.54052,Neptune-like
7 CMa b,7 CMa,1,2,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),1.34,0.06,,,90,,,K1 III,4826,4.87,1.34,0.21,1.063,3.19,4.3,,19.8101,3.95,1.564,3.67853,Gas Giant
7 CMa c,7 CMa,1,2,996,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.566,0.08,,,90,,,K1III(+M),4826,4.87,1.34,0.21,1.063,3.19,4.3,,19.8101,3.95,1.564,3.67853,Gas Giant
70 Vir b,70 Vir,1,1,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,6.54,0.3988,,,,,,G5V,5495,1.89,1.09,-0.09,0.451,3.95,7.77,0.19024,17.9011,4.96808,3.5,4.76178,Gas Giant
75 Cet b,75 Cet,2,1,691.9,2.1,13.1,1.17,953.49,3,Msini,2.33,0.117,,,,,,G3 III,4846,10.5,2.49,0,1.73,2.63,,,82.9613,5.3532,3.207,5.09343,Gas Giant
